"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2011-03-14",57.8,58.38,57.27,57.78,3186500,57.78
"2","2011-03-11",58.05,58.8,57.61,58.39,3435100,58.39
"3","2011-03-10",59,59.18,57.87,58.73,3300800,58.73
"4","2011-03-09",60.27,60.56,59.21,59.39,3118600,59.39
"5","2011-03-08",61.52,61.56,59.3,59.96,3712900,59.96
"6","2011-03-07",60.47,62,60.28,61.26,3057300,61.26
"7","2011-03-04",61.07,61.68,60.18,60.6,2574100,60.6
"8","2011-03-03",60.8,61.49,60.46,60.96,2621200,60.96
"9","2011-03-02",59.29,60.62,59.1,60.33,2822300,60.33
"10","2011-03-01",61,61.55,59.56,59.82,3050300,59.82
"11","2011-02-28",59.15,60.59,58.96,60.26,3086900,60.26
"12","2011-02-25",59.35,59.49,58.88,59.18,2478100,59.18
"13","2011-02-24",58.25,59.62,58.08,59,4070900,59
"14","2011-02-23",59.09,59.9,58.69,58.75,3444600,58.75
"15","2011-02-22",59,60.02,58.32,59.49,3908800,59.49
"16","2011-02-21",61.31,61.42,59.69,59.9,3227500,59.9
"17","2011-02-18",61.35,61.54,60.77,61.54,3463200,61.54
"18","2011-02-17",60.62,61.1,60.19,60.97,2789900,60.97
"19","2011-02-16",61.3,61.48,60.3,60.3,3293900,60.3
"20","2011-02-15",59.67,60.73,59.6,60.56,3698600,60.56
"21","2011-02-14",58.3,59.49,58.23,59.49,2736000,59.49
"22","2011-02-11",58.38,58.58,57.59,58.04,2594100,58.04
"23","2011-02-10",57.62,58.59,57.5,58.53,2489900,58.53
"24","2011-02-09",57.85,58.24,57.6,57.82,2057700,57.82
"25","2011-02-08",58.18,58.38,57.52,57.69,2867600,57.69
"26","2011-02-07",57.43,58.62,57.01,58.45,2965100,58.45
"27","2011-02-04",58.09,58.24,57.12,57.35,2634100,57.35
"28","2011-02-03",57.93,58.13,57.19,57.77,2719700,57.77
"29","2011-02-02",57.71,58.55,57.39,58.04,3706100,58.04
"30","2011-02-01",56.5,58.06,56.34,58,3919800,58
"31","2011-01-31",56.3,56.72,55.75,56.18,2474400,56.18
"32","2011-01-28",57.18,57.39,56.09,56.29,2900600,56.29
"33","2011-01-27",57.4,58.22,57.21,57.41,3643400,57.41
"34","2011-01-26",56.39,57.55,56.17,57.22,2985600,57.22
"35","2011-01-25",55.93,57.38,55.2,56.12,4382900,56.12
"36","2011-01-24",56.68,56.82,54.27,55.93,4157800,55.93
"37","2011-01-21",55.93,56.68,55.16,56.64,5684900,56.64
"38","2011-01-20",56.04,56.77,55.15,55.65,4111800,55.65
"39","2011-01-19",57.24,57.72,55.68,55.95,4221000,55.95
"40","2011-01-18",57.33,57.65,57.17,57.41,2421000,57.41
"41","2011-01-17",57.3,57.83,56.91,57.15,2139500,57.15
"42","2011-01-14",58.13,58.24,56.91,57.57,3551700,57.57
"43","2011-01-13",58.75,59.21,57.09,58.42,3815400,58.42
